མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,435,9,《པེ་》《སྣར་》,pནི།,,
,,436,10,《པེ་》《སྣར་》,mཞེ།,,
,,437,11,《པེ་》《སྣར་》,ཏོན།,,
,,438,12,《པེ་》《སྣར་》,ནས།,,
,,439,13,《པེ་》《སྣར་》,འདིང་།,,
,,440,14,《པེ་》《སྣར་》,དྷའི།,,
,785,441,1,《པེ་》《སྣར་》,ལྤགས།,,
,,442,2,《པེ་》《སྣར་》,ན།,,
,,443,3,《ཅོ་》,དྲེག,,
,,444,4,《པེ་》《སྣར་》,ཤུ་ལོག,,
,,445,5,《པེ་》《སྣར་》,པར།,,
,,446,6,《པེ་》《སྣར་》,སྟོན་ཏེ།,,
,,447,7,《པེ་》《སྣར་》,བཟའ།,,
,,448,8,《པེ་》《སྣར་》,pཟས།,,
,,449,9,《པེ་》《སྣར་》,པས།,,
,,450,10,《ཅོ་》,ཏོ།,,
,,451,11,《སྣར་》,པས།,,
,,452,12,《པེ་》《སྣར་》,རེང་།,,
,,453,13,《པེ་》《སྣར་》,རེང་།,,
,786,454,1,《པེ་》《སྣར་》,གི།,,
,,455,2,《ཅོ་》,ཉམས།,,
,,456,3,《པེ་》《སྣར་》,དགོག,,
,787,457,1,《པེ་》《སྣར་》,གི།,,
,,458,2,《པེ་》《སྣར་》,ལ།,,
,,459,3,《པེ་》《སྣར་》《ཅོ་》,སྦྲས།,,
,,460,4,《པེ་》,ནས།,,
,,461,5,《པེ་》《སྣར་》,འཁར།,,
,,462,6,《པེ་》《སྣར་》,pན།,,
,788,463,1,《པེ་》《སྣར་》,བསམ།,,
,,464,2,《པེ་》《སྣར་》,གི།,,
,,465,3,《པེ་》《སྣར་》,གི།,,
,,466,4,《པེ་》《སྣར་》,སྨད།,,
,,467,5,《པེ་》《སྣར་》,གི།,,
,,468,6,《པེ་》,ཐོབ་ལ་རིན་བཙིས།,《སྣར་》,ཐོད་ལ་རིན་བཙིས།,
,,469,7,《པེ་》《སྣར་》,ཚིགས།,,
