མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,520,422,1,《པེ་》《སྣར་》,ཐོབ།,
,,423,2,《པེ་》,སྐྱེས།,《སྣར་》,སྐྱེད།
,,424,3,《པེ་》《སྣར་》,སྐྱེད།,
,,425,4,《པེ་》《སྣར་》,སྐྱེད།,
,,426,5,《པེ་》《སྣར་》,སྐྱེད།,
,,427,6,《པེ་》《སྣར་》,ན་འདི་མཛོད།,
,,428,7,《པེ་》《སྣར་》,mསྨིན་པ།,
,,429,8,《པེ་》,ཀྱི།,
,,430,9,《པེ་》,བཟུང་།,
,,431,10,《པེ་》《སྣར་》,གིས།,
,,432,11,《པེ་》《སྣར་》,རི།,
,,433,12,《པེ་》,དང་།,
,521,434,1,《པེ་》《སྣར་》,སྐྱེད།,
,,435,2,《པེ་》,mཔ།,
,,436,3,《པེ་》,གྱི།,
,,437,4,《པེ་》《སྣར་》,mའདི།,
,,438,5,《པེ་》《སྣར་》,ཀྱི།,
,,439,6,《པེ་》《སྣར་》,སྦྱོར།,
,,440,7,《པེ་》《སྣར་》,འདིའི།,
,,441,8,《པེ་》《སྣར་》,ཀྱི།,
,,442,9,《པེ་》《སྣར་》,སྐུའི།,
,,443,10,《པེ་》《སྣར་》,འབྱེ་བའི།,
,,444,11,《པེ་》《སྣར་》,བསྟན།,
,522,445,1,《པེ་》《སྣར་》,mགསང་བའི།,
,,446,2,《པེ་》,mཔ།,
,,447,3,《པེ་》《སྣར་》,བསྡུད།,
,,448,4,《པེ་》《སྣར་》,བསྡུད།,
,,449,5,《པེ་》《སྣར་》,གྱིས་བརླབས།,
,,450,6,《པེ་》,བས་འོ།,
,,451,7,《པེ་》《སྣར་》,ཀྱི།,
,523,452,1,《པེ་》《སྣར་》,བཞུགས།,
,,453,2,《པེ་》《སྣར་》,རྟོག,
,,454,3,《པེ་》《སྣར་》,བལྟ།,
,,455,4,《པེ་》《སྣར་》,བཞུགས།,
,,456,5,《པེ་》《སྣར་》,གྱི།,
,,457,6,《པེ་》《སྣར་》,གསལ།,
,,458,7,《པེ་》《སྣར་》,mདང་།,
,,459,8,《པེ་》《སྣར་》,བ།,
,,460,9,《པེ་》,བཅས།,
,524,461,1,《པེ་》,mདེ།,
