མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་མདོ། རེ།,1037,2,1,《པེ་》《སྣར་》,རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ་སདྷི་བྷ་དྲས་མཛད་པ།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,174,26,《པེ་》《སྣར་》,ཛསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,175,27,《པེ་》《སྣར་》,ཨེཙྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,176,28,《པེ་》《སྣར་》,ཨ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,177,29,《པེ་》《སྣར་》,ཨམྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,178,30,《པེ་》《སྣར་》,ཤསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,179,31,《པེ་》《སྣར་》,ཊའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,180,32,《པེ་》《སྣར་》,ནའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,181,33,《པེ་》《སྣར་》,ངཏྲི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,182,34,《པེ་》《སྣར་》,ཨེཙྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,183,35,《པེ་》《སྣར་》,ཨ་ཡ་ཨཝའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,184,36,《པེ་》《སྣར་》,ཨིཀྲའི་ཡཎྲ་ཨཙྲལའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,185,37,《པེ་》《སྣར་》,ཨཔྲ་ལ་ནུཊྲའོ། །ནཱམྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
